date,mktrf,smb,hml,rf,umd
02/01/1963,-0.005400,0.009400,0.003200,0.00011,-0.005300
03/01/1963,0.016600,0.009700,-0.002400,0.00011,-0.019600
04/01/1963,0.006800,0.006400,-0.000100,0.00011,-0.006600
07/01/1963,0.000600,0.003300,0.002800,0.00011,-0.001700
08/01/1963,0.009100,-0.000400,0.002200,0.00011,-0.004200
09/01/1963,-0.001600,0.001100,0.001000,0.00011,0.002400
10/01/1963,0.001900,0.002100,-0.000900,0.00011,-0.001100
11/01/1963,0.002600,-0.000400,-0.001300,0.00011,-0.000100
14/01/1963,0.005700,0.000800,0.002200,0.00011,-0.005900
15/01/1963,-0.001000,-0.000300,0.003100,0.00011,0.005100
16/01/1963,-0.006900,0.001000,-0.000100,0.00011,0.004400
17/01/1963,0.006600,0.000600,-0.002100,0.00011,-0.003600
18/01/1963,0.000200,0.000700,-0.000600,0.00011,0.003600
21/01/1963,0.001500,-0.000200,-0.002000,0.00011,0.000000
22/01/1963,0.002600,0.004000,-0.000300,0.00011,-0.003100
23/01/1963,0.002300,0.000900,0.003000,0.00011,0.000000
24/01/1963,0.001600,0.002300,0.002900,0.00011,0.002900
25/01/1963,0.002500,-0.003600,0.003400,0.00011,0.001400
28/01/1963,0.004000,-0.003900,0.001400,0.00011,-0.001100
29/01/1963,0.000200,-0.003200,0.003600,0.00011,0.003100
30/01/1963,-0.005600,-0.001200,0.001300,0.00011,0.002400
31/01/1963,0.004400,-0.000800,0.000500,0.00011,-0.001700
01/02/1963,0.001800,0.001000,0.003200,0.00012,0.002100
04/02/1963,-0.002000,0.000300,-0.002200,0.00012,0.001700
05/02/1963,-0.000700,-0.003600,0.003000,0.00012,0.002400
06/02/1963,0.004800,0.002300,-0.001900,0.00012,0.000100
07/02/1963,-0.002900,-0.000200,0.004500,0.00012,0.002800
08/02/1963,0.000400,-0.000100,-0.000200,0.00012,0.001700
11/02/1963,-0.005000,0.000500,0.005000,0.00012,0.000400
12/02/1963,0.000400,-0.001200,0.000600,0.00012,-0.000400
13/02/1963,0.004700,0.002800,0.005400,0.00012,-0.000800
14/02/1963,0.003000,0.002100,0.001300,0.00012,0.000300
15/02/1963,0.001400,-0.001000,-0.001200,0.00012,0.001700
18/02/1963,0.001500,-0.002600,0.002400,0.00012,-0.000200
19/02/1963,-0.004200,-0.000400,0.000000,0.00012,0.001100
20/02/1963,-0.005100,0.000700,0.000900,0.00012,0.001200
21/02/1963,0.001100,0.001000,0.000000,0.00012,0.000000
25/02/1963,-0.006000,0.001500,0.001700,0.00012,0.005500
26/02/1963,0.000900,0.002300,-0.002200,0.00012,-0.002400
27/02/1963,-0.006500,0.001000,0.001200,0.00012,0.003400
28/02/1963,-0.011400,-0.001700,0.000300,0.00012,0.002800
01/03/1963,-0.003400,-0.002700,0.001900,0.00011,0.002300
04/03/1963,0.009100,-0.000100,0.000900,0.00011,-0.004000
05/03/1963,-0.000300,-0.003200,0.001000,0.00011,0.003000
06/03/1963,0.001700,-0.002400,-0.000200,0.00011,0.001800
07/03/1963,0.005800,-0.002000,-0.000200,0.00011,0.000900
08/03/1963,0.001300,-0.000900,0.000700,0.00011,-0.000100
11/03/1963,0.002100,-0.003100,-0.000300,0.00011,0.002900
12/03/1963,0.002400,-0.001200,0.000300,0.00011,-0.000700
13/03/1963,0.003100,-0.002000,0.003900,0.00011,0.001500
14/03/1963,-0.004500,0.000800,-0.001900,0.00011,0.000900
15/03/1963,0.003900,-0.004200,0.002800,0.00011,0.003400
18/03/1963,-0.004300,-0.000600,-0.001200,0.00011,0.002700
19/03/1963,-0.002300,-0.003100,0.001400,0.00011,0.003100
20/03/1963,0.007100,-0.000700,0.003200,0.00011,0.000300
21/03/1963,-0.001300,0.000300,0.000100,0.00011,0.002500
22/03/1963,0.004400,-0.000500,0.003600,0.00011,0.002000
25/03/1963,0.000300,-0.000400,0.001400,0.00011,0.001700
26/03/1963,0.002600,-0.001900,0.000500,0.00011,-0.001600
27/03/1963,0.004000,0.001500,-0.001700,0.00011,-0.005600
28/03/1963,-0.001300,0.000500,0.000100,0.00011,0.000100
29/03/1963,0.000000,0.000800,0.004200,0.00011,0.003400
