mktrf,smb,hml,rf,umd,dateff
0.049400,0.030100,0.022400,0.00250,-0.021300,31/01/1963
-0.024000,0.004600,0.021500,0.00230,0.025200,28/02/1963
0.030800,-0.025800,0.021000,0.00230,0.015800,29/03/1963
0.045100,-0.012600,0.010000,0.00250,-0.001000,30/04/1963
0.017600,0.010800,0.025500,0.00240,0.002900,31/05/1963
-0.020000,-0.003200,0.006500,0.00230,0.011600,28/06/1963
-0.003900,-0.005700,-0.008100,0.00270,0.010100,31/07/1963
0.050800,-0.009500,0.017000,0.00250,0.010000,30/08/1963
-0.015700,-0.002500,0.000000,0.00270,0.001200,30/09/1963
0.025400,-0.005700,-0.000400,0.00290,0.031300,31/10/1963
-0.008600,-0.011600,0.017300,0.00270,-0.007800,29/11/1963
0.018300,-0.019600,-0.002100,0.00290,0.018400,31/12/1963
0.022400,-0.002400,0.016300,0.00300,0.010200,31/01/1964
0.015500,0.001200,0.028100,0.00260,0.003300,28/02/1964
0.014100,0.009500,0.032900,0.00310,0.006900,31/03/1964
0.001000,-0.013500,-0.005400,0.00290,-0.006400,30/04/1964
0.014100,-0.008400,0.018100,0.00260,0.025300,28/05/1964
0.012700,-0.002300,0.006800,0.00300,0.004700,30/06/1964
0.017400,0.001900,0.007900,0.00300,-0.003800,31/07/1964
-0.014400,0.000100,0.000700,0.00280,-0.002500,31/08/1964
0.026900,-0.006300,0.017200,0.00280,-0.003900,30/09/1964
0.006000,0.004800,0.010800,0.00290,0.001900,30/10/1964
-0.000100,0.006200,-0.020400,0.00290,0.011000,30/11/1964
0.000400,-0.002400,-0.024300,0.00310,-0.006900,31/12/1964
0.035400,0.025700,0.003600,0.00280,-0.013800,29/01/1965
0.004400,0.033100,0.002200,0.00300,0.002400,26/02/1965
-0.013400,0.017900,0.011500,0.00360,0.001700,31/03/1965
0.031100,0.011400,0.007300,0.00310,0.025300,30/04/1965
-0.007800,0.000200,-0.015500,0.00310,0.005500,28/05/1965
-0.055100,-0.040700,0.002300,0.00350,-0.031800,30/06/1965
0.014400,0.008600,0.021900,0.00310,0.040900,30/07/1965
0.027300,0.028500,-0.009800,0.00330,0.025800,31/08/1965
0.028600,0.006300,-0.001400,0.00310,0.032900,30/09/1965
0.026000,0.025200,0.015500,0.00310,0.034500,29/10/1965
-0.000300,0.046900,0.001600,0.00350,0.044000,30/11/1965
0.010100,0.020700,0.021500,0.00330,-0.001000,31/12/1965
0.007200,0.040200,0.032700,0.00380,0.052800,31/01/1966
-0.012100,0.044400,0.003800,0.00350,0.045800,28/02/1966
-0.025100,0.008600,-0.021300,0.00380,0.014700,31/03/1966
0.021300,0.034400,-0.003600,0.00340,0.058800,29/04/1966
-0.056700,-0.046000,-0.016000,0.00410,-0.047100,31/05/1966
-0.014400,0.010200,0.004900,0.00380,0.032300,30/06/1966
-0.016300,-0.003500,0.009100,0.00350,-0.013000,29/07/1966
-0.079400,-0.032600,0.005000,0.00410,-0.022100,31/08/1966
-0.010600,-0.010100,0.004800,0.00400,-0.018600,30/09/1966
0.038600,-0.066000,0.027400,0.00450,-0.052000,31/10/1966
