caldt,vwretd
02/01/1963,-0.005009
03/01/1963,0.016469
04/01/1963,0.006896
07/01/1963,0.000946
08/01/1963,0.009031
09/01/1963,-0.001472
10/01/1963,0.001983
11/01/1963,0.002611
14/01/1963,0.005732
15/01/1963,-0.000920
16/01/1963,-0.006757
17/01/1963,0.006622
18/01/1963,0.000458
21/01/1963,0.001537
22/01/1963,0.002752
23/01/1963,0.002342
24/01/1963,0.001652
25/01/1963,0.002498
28/01/1963,0.003894
29/01/1963,0.000389
30/01/1963,-0.005378
31/01/1963,0.004609
01/02/1963,0.001922
04/02/1963,-0.002014
05/02/1963,-0.000736
06/02/1963,0.004697
07/02/1963,-0.002964
08/02/1963,0.000528
11/02/1963,-0.004841
12/02/1963,0.000281
13/02/1963,0.004821
14/02/1963,0.003187
15/02/1963,0.001370
18/02/1963,0.001688
19/02/1963,-0.004057
20/02/1963,-0.004971
21/02/1963,0.001220
25/02/1963,-0.005913
26/02/1963,0.000994
27/02/1963,-0.006276
28/02/1963,-0.011023
01/03/1963,-0.003240
04/03/1963,0.009084
05/03/1963,-0.000022
06/03/1963,0.001780
07/03/1963,0.005806
08/03/1963,0.001217
11/03/1963,0.002176
12/03/1963,0.002480
13/03/1963,0.003231
14/03/1963,-0.004251
15/03/1963,0.003955
18/03/1963,-0.004160
19/03/1963,-0.002217
20/03/1963,0.007190
21/03/1963,-0.001147
22/03/1963,0.004538
25/03/1963,0.000470
26/03/1963,0.002574
27/03/1963,0.004140
28/03/1963,-0.001091
29/03/1963,0.000092
01/04/1963,0.003741
02/04/1963,-0.000191
03/04/1963,0.007061
04/04/1963,0.006163
05/04/1963,0.005794
08/04/1963,0.003489
09/04/1963,-0.000648
10/04/1963,-0.002433
11/04/1963,0.006588
15/04/1963,0.003920
16/04/1963,0.000944
17/04/1963,-0.002148
18/04/1963,0.001015
19/04/1963,0.004775
22/04/1963,0.000608
23/04/1963,0.003578
24/04/1963,0.002721
25/04/1963,0.000714
26/04/1963,-0.000536
29/04/1963,-0.000767
30/04/1963,0.002193
01/05/1963,0.002607
02/05/1963,0.002699
03/05/1963,-0.001364
06/05/1963,-0.006189
07/05/1963,-0.000133
08/05/1963,0.007820
09/05/1963,0.004366
10/05/1963,0.003075
13/05/1963,0.000389
14/05/1963,-0.002578
15/05/1963,0.002517
16/05/1963,-0.002141
17/05/1963,0.001012
20/05/1963,-0.003820
21/05/1963,0.002233
22/05/1963,0.000512
23/05/1963,-0.000727
24/05/1963,-0.001073
27/05/1963,-0.000970
28/05/1963,0.001791
29/05/1963,0.004354
31/05/1963,0.005575
03/06/1963,-0.000577
04/06/1963,0.000123
05/06/1963,-0.002274
06/06/1963,0.000243
07/06/1963,-0.001815
10/06/1963,-0.005467
11/06/1963,0.001051
12/06/1963,0.004827
13/06/1963,-0.002449
14/06/1963,0.000610
17/06/1963,-0.003895
18/06/1963,0.001290
19/06/1963,0.000956
20/06/1963,-0.001111
21/06/1963,0.003271
24/06/1963,-0.000785
25/06/1963,-0.002238
26/06/1963,-0.009034
27/06/1963,-0.004796
28/06/1963,0.004052
01/07/1963,-0.006464
02/07/1963,0.007971
03/07/1963,0.006421
05/07/1963,0.004134
08/07/1963,-0.006111
09/07/1963,0.004604
10/07/1963,-0.001551
11/07/1963,-0.001456
12/07/1963,-0.001139
15/07/1963,-0.006031
16/07/1963,-0.000652
17/07/1963,-0.003157
18/07/1963,-0.005655
19/07/1963,-0.002507
22/07/1963,-0.006362
23/07/1963,0.000153
24/07/1963,0.004639
25/07/1963,-0.000289
26/07/1963,0.003571
29/07/1963,0.001080
30/07/1963,0.008450
31/07/1963,-0.001154
01/08/1963,-0.000683
02/08/1963,0.003002
05/08/1963,0.005681
06/08/1963,0.006058
07/08/1963,-0.001725
08/08/1963,0.001408
09/08/1963,0.006048
12/08/1963,0.002592
13/08/1963,0.002697
14/08/1963,0.003185
15/08/1963,0.004352
16/08/1963,0.001668
19/08/1963,-0.000345
20/08/1963,-0.000477
21/08/1963,-0.001006
22/08/1963,0.003851
23/08/1963,0.003484
26/08/1963,0.001924
27/08/1963,-0.004135
28/08/1963,0.007744
29/08/1963,0.001917
30/08/1963,0.004417
03/09/1963,0.002395
04/09/1963,0.000186
05/09/1963,0.004861
06/09/1963,-0.002460
09/09/1963,-0.003437
10/09/1963,0.005285
11/09/1963,0.002622
12/09/1963,-0.000755
13/09/1963,0.000409
16/09/1963,-0.001299
17/09/1963,0.000413
18/09/1963,-0.004036
19/09/1963,0.005392
20/09/1963,0.000678
23/09/1963,-0.004842
24/09/1963,0.003582
25/09/1963,-0.005537
26/09/1963,-0.007889
27/09/1963,-0.001686
30/09/1963,-0.005778
01/10/1963,0.006386
02/10/1963,0.001094
03/10/1963,0.006753
